block_lot,sale_day,declared_profit,sale_profit,property_type,sold_part,city,build_year,building_mr,rooms_number,rami_source
006933-0136-110-00,2025-05-20,17950000,17950000,דירה בבית קומות,1.0,תל אביב -יפו,2006,231,4.0,תל אביב - 15.05.25-24.05.25.xls
007321-0161-277-00,2025-05-20,3450000,3450000,דירה בבית קומות,1.0,תל אביב -יפו,2019,91,3.0,תל אביב - 15.05.25-24.05.25.xls
007084-0159-067-00,2025-05-20,1380000,1380000,דירה בבית קומות,0.354,תל אביב -יפו,2026,51,2.0,תל אביב - 15.05.25-24.05.25.xls
006634-0015-482-00,2025-05-20,15000000,15000000,דירה בבית קומות,1.0,תל אביב -יפו,2030,125,4.0,תל אביב - 15.05.25-24.05.25.xls
006636-0854-002-00,2025-05-18,2570000,2570000,דירה בבית קומות,1.0,תל אביב -יפו,1997,53,2.0,תל אביב - 15.05.25-24.05.25.xls
007050-0219-021-00,2025-05-18,2240000,2240000,דירה בבית קומות,1.0,תל אביב -יפו,1970,74,3.5,תל אביב - 15.05.25-24.05.25.xls
006627-0351-128-00,2025-05-18,4650000,4650000,דירה בבית קומות,1.0,תל אביב -יפו,1960,99,4.0,תל אביב - 15.05.25-24.05.25.xls
006910-0095-001-00,2025-05-18,3150000,3150000,דירה בבית קומות,1.0,תל אביב -יפו,2019,43,2.0,תל אביב - 15.05.25-24.05.25.xls
006212-0518-004-00,2025-05-20,4750000,4750000,דירה בבית קומות,1.0,תל אביב -יפו,2028,74,3.0,תל אביב - 15.05.25-24.05.25.xls
006900-0023-037-00,2025-05-26,520377,520377,דירה בבית קומות,1.0,תל אביב -יפו,2028,1,1.0,תל אביב - 25.05.25-31.05.25.xls
030289-0010-005-00,2025-03-03,1519905,1519905,דירה בבית קומות,0.5,ירושלים,2029,76,3.0,ירושלים - 01.03.25-05.03.25.xls
030044-0285-006-00,2025-03-04,2600000,2600000,דירה בבית קומות,1.0,ירושלים,1970,75,3.0,ירושלים - 01.03.25-05.03.25.xls
030413-0096-038-00,2025-03-04,3035000,3035000,דירה בבית קומות,1.0,ירושלים,2025,98,4.0,ירושלים - 01.03.25-05.03.25.xls
030333-0029-010-00,2025-03-03,4402756,4402756,דירה בבית קומות,0.907,ירושלים,0,120,0.0,ירושלים - 01.03.25-05.03.25.xls
030187-0035-006-00,2025-03-04,3675028,3675028,דירה בבית קומות,1.0,ירושלים,2030,100,4.0,ירושלים - 01.03.25-05.03.25.xls
030004-0101-104-00,2025-03-04,906666,906666,דירה בבית קומות,0.333,ירושלים,1950,57,3.0,ירושלים - 01.03.25-05.03.25.xls
030004-0101-104-00,2025-03-04,906666,906666,דירה בבית קומות,0.333,ירושלים,1950,57,3.0,ירושלים - 01.03.25-05.03.25.xls
030004-0101-104-00,2025-03-04,226666,226666,דירה בבית קומות,0.083,ירושלים,1950,57,3.0,ירושלים - 01.03.25-05.03.25.xls
030004-0101-104-00,2025-03-04,340000,340000,דירה בבית קומות,0.125,ירושלים,1950,57,3.0,ירושלים - 01.03.25-05.03.25.xls
030004-0101-104-00,2025-03-04,340000,340000,דירה בבית קומות,0.125,ירושלים,1950,57,3.0,ירושלים - 01.03.25-05.03.25.xls
030645-0011-013-00,2025-03-03,2050000,2050000,דירה בבית קומות,1.0,ירושלים,1970,56,3.0,ירושלים - 01.03.25-05.03.25.xls
030139-0376-034-00,2025-03-03,4000000,4000000,דירה בבית קומות,1.0,ירושלים,2014,114,4.0,ירושלים - 01.03.25-05.03.25.xls
030864-0005-000-00,2025-03-04,3900000,3900000,דירה בבית קומות,1.0,ירושלים,2022,80,3.0,ירושלים - 01.03.25-05.03.25.xls
